Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Runyon Canyon Park,"One of my favorite hikes in my hometown of Los Angeles. It provides an amazing view of the entire city, especially nice on a clear day!",34.110681,-118.350378,https://www.alltopsights.com/attraction-runyon-canyon-park-california-ca/,https://www.hikespeak.com/img/la/Runyon/Runyon_Canyon_IMG_4354.jpg
Dave's Hot Chicken North Hollywood,A chicken sandwhich shop my friends and I went to all the time in high school.,34.164723,-118.374257,https://www.daveshotchicken.com/los-angeles-ca-north-hollywood,https://images.squarespace-cdn.com/content/v1/5cc1ef857980b37d57c04f38/1649865724700-DEJPXJM1JUQOG95BDJDY/Daves-Hot-Chicken-Los-Angeles-CA-North-Hollywod.jpg?format=1000w
